;Алексей Швек;;9 мая 2015;https://stopgame.ru/show/56462/xenoblade_chronicles_3d_review
;Дмитрий Кунгуров;;10 апреля 2015;https://stopgame.ru/show/56262/bloodborne_review
;Мария Народицкая;;7 апреля 2015;https://stopgame.ru/show/56254/dreamfall_chapters_book_two_rebels_review
;Кирилл Волошин;;5 апреля 2015;https://stopgame.ru/show/56238/pillars_of_eternity_review
;Мария Народицкая;;27 марта 2015;https://stopgame.ru/show/56193/cities_skylines_review
;Дмитрий Кунгуров;;25 марта 2015;https://stopgame.ru/show/56177/ori_and_the_blind_forest_review
;Алексей Швек;;25 марта 2015;https://stopgame.ru/show/56175/monster_hunter_4g_review
;Алексей Швек;;17 марта 2015;https://stopgame.ru/show/56128/the_legend_of_zelda_majora_s_mask_3d_review
;Алексей Швек;;9 марта 2015;https://stopgame.ru/show/56061/alto_s_adventure_review
;Глеб Клепцов;;24 февраля 2015;https://stopgame.ru/show/55939/total_war_attila_review
;Кирилл Волошин;;21 февраля 2015;https://stopgame.ru/show/55929/grow_home_review
;Дмитрий Кунгуров;;6 февраля 2015;https://stopgame.ru/show/55802/resident_evil_review
;Алексей Швек;;29 января 2015;https://stopgame.ru/show/55737/space_marshals_review
;Алексей Перевертень;;30 декабря 2014;https://stopgame.ru/show/55491/battlelore_command_review
;Алексей Перевертень;;22 декабря 2014;https://stopgame.ru/show/55418/simcity_buildit_review
